Source,Target
v1,v2
v1,v4
v1,v5
v1,v16
v2,v6
v2,v8
v2,v13
v3,v4
v4,v5
v4,v16
v4,v10
v4,v9
v4,v18
v4,v15
v4,v17
v4,v12
v4,v13
v4,v8
v4,v6
v5,v16
v6,v7
v6,v8
v6,v12
v6,v13
v6,v14
v7,v8
v8,v12
v8,v13
v8,v14
v9,v11
v9,v14
v9,v21
v10,v11
v10,v16
v11,v16
v11,v20
v11,v14
v12,v13
v12,v14
v12,v16
v12,v17
v13,v14
v13,v15
v14,v15
v14,v17
v14,v18
v14,v19
v14,v26
v15,v16
v15,v18
v16,v18
v17,v18
v21,v22
v21,v23
v22,v23
v24,v25
v24,v26
v25,v26
v26,v28
v26,v29
v27,v28
v27,v31
v28,v29
v28,v31
v28,v32
v29,v30
v31,v32
v31,v33
v34,v35
